"Temperature","Humidity","Heat Index","LPG","CO","Smoke","CO2","Toleune","NH4","Acetone","Dust density","AQI"]
['75.00,32.10,108.75,0.00462,0.00249,0.01240,211.7552.38,18.31,53.63,14.40,109.47,330\n']
['75.00,32.10,108.75,0.00522,0.00299,0.01402,217.5851.80,18.06,53.11,14.21,111.96,330\n']
['75.00,32.20,109.35,0.00581,0.00341,0.01522,218.1752.97,18.56,54.16,14.60,109.47,332\n']
['75.00,32.10,108.75,0.00620,0.00365,0.01632,219.6654.18,19.07,55.22,14.99,109.47,333\n']
['74.90,32.20,109.27,0.00623,0.00371,0.01638,219.3654.18,19.07,55.22,14.99,108.64,333\n']
['75.00,32.20,109.35,0.00647,0.00397,0.01700,220.5655.10,19.46,56.03,15.29,107.81,334\n']
['75.00,32.20,109.35,0.00640,0.00387,0.01700,221.1755.41,19.59,56.31,15.39,107.81,334\n']
['74.90,32.20,109.27,0.00657,0.00402,0.01735,222.0756.04,19.86,56.85,15.59,107.81,335\n']
['74.90,32.20,109.27,0.00628,0.00377,0.01665,220.5655.10,19.46,56.03,15.29,108.64,333\n']
['74.90,32.20,109.27,0.00625,0.00379,0.01672,220.5655.10,19.46,56.03,15.29,106.98,333\n']
['74.90,32.20,109.27,0.00640,0.00387,0.01686,221.7755.73,19.72,56.58,15.49,107.81,334\n']
['74.90,32.20,109.27,0.00637,0.00387,0.01686,221.1755.41,19.59,56.31,15.39,107.81,334\n']
['75.00,32.10,108.75,0.00635,0.00377,0.01665,220.8655.41,19.59,56.31,15.39,107.81,333\n']
['74.90,32.20,109.27,0.00611,0.00361,0.01592,219.9654.79,19.33,55.76,15.19,106.98,333\n']
['74.90,32.20,109.27,0.00606,0.00365,0.01618,219.9655.41,19.59,56.31,15.39,107.81,332\n']
['74.80,32.20,109.20,0.00616,0.00375,0.01638,219.9655.41,19.59,56.31,15.39,107.81,332\n']
['74.90,32.20,109.27,0.00604,0.00354,0.01560,219.3654.49,19.20,55.49,15.09,107.81,331\n']
['74.80,32.20,109.20,0.00593,0.00350,0.01579,218.1753.88,18.94,54.95,14.89,107.81,329\n']
['74.90,32.20,109.27,0.00570,0.00325,0.01479,218.1754.18,19.07,55.22,14.99,106.98,329\n']
['74.90,32.20,109.27,0.00572,0.00330,0.01491,217.5853.57,18.81,54.69,14.79,106.98,328\n']
['74.90,32.20,109.27,0.00555,0.00318,0.01461,216.9953.27,18.68,54.42,14.69,106.15,329\n']
['74.80,32.20,109.20,0.00543,0.00307,0.01402,216.1152.97,18.56,54.16,14.60,106.15,328\n']
['74.80,32.20,109.20,0.00538,0.00305,0.01414,216.9953.27,18.68,54.42,14.69,106.98,329\n']
['74.80,32.20,109.20,0.00545,0.00311,0.01414,216.9952.97,18.56,54.16,14.60,106.15,328\n']
['74.70,32.30,109.72,0.00543,0.00307,0.01414,216.6953.27,18.68,54.42,14.69,106.15,327\n']
['74.80,32.20,109.20,0.00549,0.00307,0.01402,216.9952.97,18.56,54.16,14.60,106.15,326\n']
['75.00,32.20,109.35,0.00543,0.00308,0.01408,216.4053.57,18.81,54.69,14.79,106.15,327\n']
['74.80,32.20,109.20,0.00528,0.00300,0.01374,215.8152.68,18.43,53.89,14.50,106.15,327\n']
['74.70,32.20,109.13,0.00508,0.00282,0.01324,215.2352.38,18.31,53.63,14.40,106.15,325\n']
['74.80,32.30,109.80,0.00512,0.00282,0.01313,214.0651.80,18.06,53.11,14.21,106.15,325\n']
['74.80,32.20,109.20,0.00514,0.00283,0.01335,214.6452.09,18.18,53.37,14.31,106.15,325\n']
['74.70,32.20,109.13,0.00504,0.00279,0.01313,214.0651.80,18.06,53.11,14.21,106.15,325\n']
['74.90,32.20,109.27,0.00512,0.00282,0.01335,214.0652.09,18.18,53.37,14.31,106.15,325\n']
